dataset,arch,run,seed,defense,defense_sigma,test_loss,test_acc,attack_auc,attack_ap,attack_f1
mutag,gcn,0,570657,logit_noise,2.0,0.6435361504554749,0.6488095238095238,0.24999999999999997,0.5476190476190477,0.6666666666662222
mutag,gcn,1,570658,logit_noise,2.0,0.6204017996788025,0.6428571428571429,0.5555555555555556,0.6666666666666666,0.6666666666662222
mutag,gcn,2,570659,logit_noise,2.0,0.6452058553695679,0.6488095238095238,0.3611111111111111,0.4416666666666667,0.6666666666662222
mutag,gcn,3,570660,logit_noise,2.0,0.6345850825309753,0.6488095238095238,0.8055555555555556,0.8333333333333333,0.79999999999952
mutag,gcn,4,570661,logit_noise,2.0,0.6117714047431946,0.6488095238095238,0.6111111111111112,0.6277777777777778,0.6666666666662222
mutag,gcn,5,570662,logit_noise,2.0,0.5991784930229187,0.6726190476190477,0.5833333333333334,0.6646825396825397,0.6666666666662222
mutag,gcn,6,570663,logit_noise,2.0,0.6094880104064941,0.6607142857142857,0.4305555555555556,0.48333333333333334,0.6666666666662222
mutag,gcn,7,570664,logit_noise,2.0,0.6196262836456299,0.6488095238095238,0.5833333333333335,0.6620370370370371,0.6666666666662222
mutag,gcn,8,570665,logit_noise,2.0,0.6292226314544678,0.6488095238095238,0.3888888888888889,0.4722222222222222,0.6666666666662222
mutag,gcn,9,570666,logit_noise,2.0,0.604884922504425,0.6607142857142857,0.45833333333333337,0.5,0.6666666666662222
mutag,gat,0,911551,logit_noise,2.0,0.6244357824325562,0.6488095238095238,0.6111111111111112,0.7202380952380951,0.6666666666662222
mutag,gat,1,911552,logit_noise,2.0,0.619144082069397,0.6488095238095238,0.7222222222222223,0.7468253968253968,0.7692307692302721
mutag,gat,2,911553,logit_noise,2.0,0.6131203770637512,0.6488095238095238,0.4444444444444444,0.5277777777777778,0.6666666666662222
mutag,gat,3,911554,logit_noise,2.0,0.6232997179031372,0.6488095238095238,0.29166666666666663,0.4625,0.6666666666662222
mutag,gat,4,911555,logit_noise,2.0,0.6188170909881592,0.6488095238095238,0.4444444444444444,0.5166666666666666,0.6666666666662222
mutag,gat,5,911556,logit_noise,2.0,0.6185591816902161,0.6488095238095238,0.6666666666666667,0.7361111111111112,0.6666666666662222
mutag,gat,6,911557,logit_noise,2.0,0.621009111404419,0.6488095238095238,0.4722222222222222,0.5444444444444444,0.6666666666662222
mutag,gat,7,911558,logit_noise,2.0,0.6205698847770691,0.6488095238095238,0.7222222222222222,0.7027777777777777,0.7272727272722312
mutag,gat,8,911559,logit_noise,2.0,0.6353946924209595,0.6488095238095238,0.7083333333333334,0.75,0.6666666666662222
mutag,gat,9,911560,logit_noise,2.0,0.6234161853790283,0.6488095238095238,0.15277777777777776,0.39345238095238094,0.6666666666662222
mutag,graphsage,0,499460,logit_noise,2.0,0.5965445041656494,0.6845238095238095,0.513888888888889,0.5833333333333334,0.6666666666662222
mutag,graphsage,1,499461,logit_noise,2.0,0.6024636030197144,0.6845238095238095,0.4722222222222222,0.6111111111111112,0.6666666666662222
mutag,graphsage,2,499462,logit_noise,2.0,0.6412438154220581,0.6488095238095238,0.375,0.5,0.6666666666662222
mutag,graphsage,3,499463,logit_noise,2.0,0.5700789093971252,0.7083333333333334,0.4027777777777778,0.6458333333333333,0.6666666666662222
mutag,graphsage,4,499464,logit_noise,2.0,0.6308965682983398,0.6428571428571429,0.5833333333333333,0.5722222222222222,0.6666666666662222
mutag,graphsage,5,499465,logit_noise,2.0,0.6046858429908752,0.6845238095238095,0.5555555555555556,0.7083333333333333,0.6666666666662222
mutag,graphsage,6,499466,logit_noise,2.0,0.6277250647544861,0.6785714285714286,0.6944444444444444,0.7777777777777778,0.6666666666662222
mutag,graphsage,7,499467,logit_noise,2.0,0.5713103413581848,0.7083333333333334,0.25,0.5,0.6666666666662222
mutag,graphsage,8,499468,logit_noise,2.0,0.5996825098991394,0.6845238095238095,0.5,0.6277777777777778,0.6666666666662222
mutag,graphsage,9,499469,logit_noise,2.0,0.6331895589828491,0.6488095238095238,0.5833333333333334,0.6277777777777778,0.6666666666662222
molhiv,gcn,0,690558,logit_noise,2.0,0.5135570168495178,0.8135593220338984,0.5555555555555556,0.6666666666666666,0.6666666666662222
molhiv,gcn,1,690559,logit_noise,2.0,0.5404461026191711,0.8135593220338984,0.6388888888888891,0.6634920634920635,0.7692307692302721
molhiv,gcn,2,690560,logit_noise,2.0,0.5117766857147217,0.8135593220338984,0.6666666666666667,0.7319444444444444,0.7142857142852245
molhiv,gcn,3,690561,logit_noise,2.0,0.6364219784736633,0.8135593220338984,0.37500000000000006,0.46031746031746035,0.6666666666662222
molhiv,gcn,4,690562,logit_noise,2.0,0.7139707207679749,0.8135593220338984,0.4722222222222222,0.5166666666666666,0.6666666666662222
molhiv,gcn,5,690563,logit_noise,2.0,0.5594081282615662,0.8135593220338984,0.6111111111111112,0.6494047619047619,0.7499999999995312
molhiv,gcn,6,690564,logit_noise,2.0,0.705109179019928,0.8135593220338984,0.6388888888888888,0.6906084656084656,0.7499999999995312
molhiv,gcn,7,690565,logit_noise,2.0,0.5499226450920105,0.8008474576271186,0.38888888888888895,0.4880952380952381,0.6666666666662222
molhiv,gcn,8,690566,logit_noise,2.0,0.531805157661438,0.8135593220338984,0.4722222222222222,0.5277777777777778,0.6666666666662222
molhiv,gcn,9,690567,logit_noise,2.0,0.6778017282485962,0.8135593220338984,0.5,0.5925925925925927,0.6666666666662222
molhiv,gat,0,659430,logit_noise,2.0,0.5487474203109741,0.8135593220338984,0.5555555555555556,0.5972222222222222,0.6666666666662222
molhiv,gat,1,659431,logit_noise,2.0,0.692152738571167,0.8135593220338984,0.2777777777777778,0.4313131313131313,0.6666666666662222
molhiv,gat,2,659432,logit_noise,2.0,0.6925745010375977,0.8135593220338984,0.3055555555555556,0.43253968253968256,0.6666666666662222
molhiv,gat,3,659433,logit_noise,2.0,0.6557775735855103,0.8135593220338984,0.3611111111111111,0.5471861471861472,0.6666666666662222
molhiv,gat,4,659434,logit_noise,2.0,0.5195768475532532,0.8135593220338984,0.6388888888888888,0.7319444444444444,0.7142857142852245
molhiv,gat,5,659435,logit_noise,2.0,0.5515353083610535,0.8135593220338984,0.33333333333333337,0.44797979797979803,0.6666666666662222
molhiv,gat,6,659436,logit_noise,2.0,0.6906875371932983,0.8135593220338984,0.27777777777777773,0.4345538720538721,0.6666666666662222
molhiv,gat,7,659437,logit_noise,2.0,0.666867196559906,0.8135593220338984,0.3055555555555556,0.4527417027417027,0.6666666666662222
molhiv,gat,8,659438,logit_noise,2.0,0.6053978204727173,0.8135593220338984,0.08333333333333331,0.3636544011544012,0.6666666666662222
molhiv,gat,9,659439,logit_noise,2.0,0.693134605884552,0.8135593220338984,0.33333333333333337,0.4757575757575757,0.6666666666662222
molhiv,graphsage,0,367904,logit_noise,2.0,0.5865635275840759,0.8135593220338984,0.4722222222222222,0.5396825396825397,0.6666666666662222
molhiv,graphsage,1,367905,logit_noise,2.0,0.552087128162384,0.8135593220338984,0.20833333333333331,0.392526455026455,0.6666666666662222
molhiv,graphsage,2,367906,logit_noise,2.0,0.633906364440918,0.8135593220338984,0.45833333333333337,0.49814814814814823,0.6666666666662222
molhiv,graphsage,3,367907,logit_noise,2.0,1.1063097715377808,0.8135593220338984,0.4444444444444444,0.5075757575757576,0.7058823529407197
molhiv,graphsage,4,367908,logit_noise,2.0,1.1828054189682007,0.8135593220338984,0.7777777777777779,0.8138888888888889,0.8333333333328333
molhiv,graphsage,5,367909,logit_noise,2.0,0.7464700937271118,0.8135593220338984,0.4444444444444444,0.48888888888888893,0.6666666666662222
molhiv,graphsage,6,367910,logit_noise,2.0,1.1736526489257812,0.8135593220338984,0.4861111111111111,0.5277777777777778,0.6666666666662222
molhiv,graphsage,7,367911,logit_noise,2.0,0.5884312987327576,0.8135593220338984,0.4166666666666667,0.46957671957671965,0.7499999999995312
molhiv,graphsage,8,367912,logit_noise,2.0,0.5435851812362671,0.8135593220338984,0.4722222222222222,0.6111111111111112,0.6666666666662222
molhiv,graphsage,9,367913,logit_noise,2.0,1.368770718574524,0.8135593220338984,0.5555555555555556,0.6489417989417989,0.6666666666662222
proteins,gcn,0,206271,logit_noise,2.0,0.6804600358009338,0.7846715328467153,0.40362811791383213,0.46316070287764227,0.6666666666662222
proteins,gcn,1,206272,logit_noise,2.0,0.6901082992553711,0.6824817518248175,0.5555555555555556,0.5427137638272093,0.6666666666662222
proteins,gcn,2,206273,logit_noise,2.0,0.7158913016319275,0.18248175182481752,0.6235827664399093,0.5978080120937264,0.6666666666662222
proteins,gcn,3,206274,logit_noise,2.0,0.7271603941917419,0.35036496350364965,0.5408163265306123,0.5520150484436199,0.6666666666662222
proteins,gcn,4,206275,logit_noise,2.0,0.5817558169364929,0.8248175182481752,0.49659863945578225,0.5658730158730159,0.6666666666662222
proteins,gcn,5,206276,logit_noise,2.0,0.6091468930244446,0.8248175182481752,0.5238095238095238,0.5593941111798255,0.6666666666662222
proteins,gcn,6,206277,logit_noise,2.0,0.5231359004974365,0.8248175182481752,0.5113378684807257,0.5298578729275036,0.6666666666662222
proteins,gcn,7,206278,logit_noise,2.0,0.6916764974594116,0.5218978102189781,0.5532879818594104,0.5501438108470396,0.6666666666662222
proteins,gcn,8,206279,logit_noise,2.0,0.6984477639198303,0.40145985401459855,0.4761904761904762,0.5310077363816571,0.6666666666662222
proteins,gcn,9,206280,logit_noise,2.0,0.62837815284729,0.8248175182481752,0.528344671201814,0.5674734720701964,0.6666666666662222
proteins,gat,0,928958,logit_noise,2.0,0.5360447764396667,0.8248175182481752,0.5464852607709749,0.5681442662535099,0.6666666666662222
proteins,gat,1,928959,logit_noise,2.0,0.5393195152282715,0.8248175182481752,0.3956916099773242,0.44374446580314464,0.6666666666662222
proteins,gat,2,928960,logit_noise,2.0,0.5270765423774719,0.8248175182481752,0.626984126984127,0.6139841795303981,0.6666666666662222
proteins,gat,3,928961,logit_noise,2.0,0.5162656903266907,0.8248175182481752,0.5102040816326531,0.6002790859933718,0.6666666666662222
proteins,gat,4,928962,logit_noise,2.0,0.5321671962738037,0.8248175182481752,0.6099773242630386,0.5472608891392423,0.6818181818176828
proteins,gat,5,928963,logit_noise,2.0,0.5507102012634277,0.8248175182481752,0.45578231292517013,0.4583608142422537,0.6666666666662222
proteins,gat,6,928964,logit_noise,2.0,0.543700098991394,0.8248175182481752,0.6700680272108843,0.7135907168515865,0.6666666666662222
proteins,gat,7,928965,logit_noise,2.0,0.5392395257949829,0.8248175182481752,0.5,0.5214698452480406,0.6666666666662222
proteins,gat,8,928966,logit_noise,2.0,0.537658154964447,0.8248175182481752,0.7324263038548753,0.7319617178312832,0.7555555555550578
proteins,gat,9,928967,logit_noise,2.0,0.5247604846954346,0.8248175182481752,0.4739229024943311,0.49809212197535946,0.6666666666662222
proteins,graphsage,0,239448,logit_noise,2.0,0.6735041737556458,0.7627737226277372,0.48752834467120176,0.5736324556813279,0.6666666666662222
proteins,graphsage,1,239449,logit_noise,2.0,0.5295023918151855,0.8248175182481752,0.5963718820861678,0.6154450669156551,0.6666666666662222
proteins,graphsage,2,239450,logit_noise,2.0,0.5441412925720215,0.8248175182481752,0.5351473922902494,0.5941805813234384,0.6666666666662222
proteins,graphsage,3,239451,logit_noise,2.0,0.7287487983703613,0.4562043795620438,0.43083900226757366,0.4747931847613116,0.6666666666662222
proteins,graphsage,4,239452,logit_noise,2.0,0.6230558156967163,0.8248175182481752,0.4943310657596372,0.5576447198926191,0.6666666666662222
proteins,graphsage,5,239453,logit_noise,2.0,0.5288674831390381,0.8248175182481752,0.3832199546485261,0.5196163577420427,0.6666666666662222
proteins,graphsage,6,239454,logit_noise,2.0,0.5575137734413147,0.8248175182481752,0.4308390022675737,0.5040019995238925,0.6666666666662222
proteins,graphsage,7,239455,logit_noise,2.0,0.6867803931236267,0.5218978102189781,0.585034013605442,0.5453890647167958,0.6666666666662222
proteins,graphsage,8,239456,logit_noise,2.0,0.70478355884552,0.4781021897810219,0.3900226757369614,0.45591227944169127,0.6666666666662222
proteins,graphsage,9,239457,logit_noise,2.0,0.5934475660324097,0.8248175182481752,0.4920634920634921,0.540751047893905,0.6666666666662222
